CAT_MED;CAT_SERV;QUANT;
AC_LIGA_0013_2;AC_MVAL_0027_W;1.000;
AC_LIGA_0013_2;AC_SLIG_0013_W;1.000;
AC_LIGA_0014_2;AC_MCOT_0013_W;1.000;
AC_LIGA_0014_2;AC_MNIP_0027_W;1.000;
AC_LIGA_0014_2;AC_MTFL_0004_W;1.000;
AC_LIGA_0014_2;AC_MVAL_0027_W;1.000;
AC_LIGA_0014_2;AC_SLIG_0014_W;1.000;
AC_LIGA_0015_2;AC_MCOT_0013_W;1.000;
AC_LIGA_0015_2;AC_MNIP_0027_W;1.000;
AC_LIGA_0015_2;AC_MTFL_0004_W;1.000;
AC_LIGA_0015_2;AC_MVAL_0027_W;1.000;
AC_LIGA_0015_2;AC_SLIG_0015_W;1.000;
AC_LIGA_0016_2;AC_MBUC_0017_W;1.000;
AC_LIGA_0016_2;AC_MCOT_0014_W;1.000;
AC_LIGA_0016_2;AC_MNIP_0027_W;1.000;
AC_LIGA_0016_2;AC_MNIP_0028_W;1.000;
AC_LIGA_0016_2;AC_MTFL_0003_W;1.000;
AC_LIGA_0016_2;AC_MVAL_0019_W;1.000;
AC_LIGA_0016_2;AC_SLIG_0016_W;1.000;
AC_LIGA_0017_2;AC_SLIG_0017_W;1.000;
AC_LIGA_0018_2;AC_MVAL_0017_W;1.000;
AC_LIGA_0018_2;AC_SLIG_0018_W;1.000;
AC_LIGA_0019_2;AC_MCOT_0013_W;1.000;
AC_LIGA_0019_2;AC_MNIP_0027_W;1.000;
AC_LIGA_0019_2;AC_MTFL_0004_W;1.000;
AC_LIGA_0019_2;AC_MVAL_0027_W;1.000;
AC_LIGA_0019_2;AC_SLIG_0019_W;1.000;
AC_LIGA_0020_2;AC_MCOT_0014_W;1.000;
AC_LIGA_0020_2;AC_MCOT_0015_W;1.000;
AC_LIGA_0020_2;AC_MNIP_0027_W;1.000;
AC_LIGA_0020_2;AC_MNIP_0028_W;1.000;
AC_LIGA_0020_2;AC_MTFL_0003_W;1.000;
AC_LIGA_0020_2;AC_SLIG_0020_W;1.000;
AC_LIGA_0021_2;AC_SLIG_0024_W;1.000;
AC_LIGA_0022_2;AC_SLIG_0025_W;1.000;
AC_PLUG_0001_2;AC_MPLU_0006_W;1.000;
AC_PLUG_0001_2;AC_SPLU_0001_W;1.000;
AC_REGU_0004_2;AC_SRER_0002_W;1.000;
AC_REGU_0005_2;AC_SRER_0002_W;1.000;
AC_REGU_0006_2;AC_SRER_0002_W;1.000;
AC_REGU_0007_2;AC_SRER_0001_W;1.000;
AC_REGU_0008_2;AC_SRER_0010_W;1.000;
AC_REGU_0009_2;AC_SRER_0002_W;1.000;
AC_REGU_0010_2;AC_SRER_0002_W;1.000;
AC_REGU_0011_2;AC_SRER_0001_W;1.000;
AC_REGU_0012_2;AC_SRER_0002_W;1.000;
AC_REGU_0013_2;AC_SRER_0002_W;1.000;
AC_REGU_0015_2;AC_SRER_0001_W;1.000;
AC_REMA_0001_2;AC_SREM_0002_W;1.000;
AC_REME_0001_2;AC_SRME_0004_W;1.000;
AC_REME_0002_2;AC_SREM_0011_W;1.000;
AC_REME_0003_2;AC_SRME_0005_W;1.000;
AC_REPA_0001_2;AC_SREP_0001_W;1.000;
AC_REPA_0002_2;AC_SREP_0002_W;1.000;
AC_REPA_0003_2;AC_SREP_0003_W;1.000;
AC_REPA_0004_2;AC_SREP_0004_W;1.000;
AC_REPA_0005_2;AC_SREP_0005_W;1.000;
AC_REPA_0006_2;AC_SREP_0006_W;1.000;
AC_REPA_0007_2;AC_SREP_0007_W;1.000;
AC_REPA_0008_2;AC_SREP_0008_W;1.000;
AC_REPA_0009_2;AC_SREP_0009_W;1.000;
AC_REPA_0010_2;AC_SREP_0010_W;1.000;
AC_REPA_0010_2;AC_STRO_0037_W;1.000;
AC_REPA_0011_2;AC_SREP_0011_W;1.000;
AC_REPA_0012_2;AC_SREP_0012_W;1.000;
AC_REPA_0013_2;AC_SREP_0013_W;1.000;
AC_REPA_0013_2;AC_STRO_0035_W;1.000;
AC_REPA_0014_2;AC_SREP_0014_W;1.000;
AC_REPA_0015_2;AC_SREP_0015_W;1.000;
AC_REPA_0016_2;AC_SREP_0016_W;1.000;
AC_REPA_0017_2;AC_SREP_0017_W;1.000;
AC_REPA_0018_2;AC_SREP_0018_W;1.000;
AC_REPA_0024_2;AC_SINS_0041_W;1.000;
AC_REPA_0024_2;AC_SREP_0024_W;1.000;
AC_REPA_0026_2;AC_SREP_0026_W;1.000;
AC_REPA_0027_2;AC_SREP_0027_W;1.000;
AC_REPA_0059_2;AC_SREP_0059_W;1.000;
AC_REPA_0060_2;AC_SREP_0060_W;1.000;
AC_REPA_0060_2;AC_STRO_0036_W;1.000;
AC_REPA_0061_2;AC_SREP_0061_W;1.000;
AC_REPA_0062_2;AC_SREP_0062_W;1.000;
AC_RETE_0001_2;AC_SRTE_0001_W;1.000;
AC_RETE_0002_2;AC_SRTE_0002_W;1.000;
AC_RETE_0003_2;AC_SRTE_0003_W;1.000;
AC_TAXA_0001_2;AC_STXV_0001_W;1.000;
AC_TEST_0001_2;AC_SRIE_0023_W;1.000;
AC_TEST_0001_2;AC_STES_0002_W;1.000;
AC_TEST_0003_2;AC_STES_0006_W;1.000;
AC_TROC_0003_2;AC_STRO_0008_W;1.000;
AC_TROC_0004_2;AC_MTFL_0004_W;1.000;
AC_TROC_0004_2;AC_STRO_0012_W;1.000;
AC_TROC_0011_2;AC_MVAL_0017_W;1.000;
AC_TROC_0011_2;AC_STRO_0025_W;1.000;
AC_TROC_0016_2;AC_STRO_0030_W;1.000;
AC_TROC_0017_2;AC_STRO_0032_W;1.000;
AC_TROC_0018_2;AC_STRO_0033_W;1.000;
AC_TROC_0019_2;AC_STRO_0034_W;1.000;
AC_TROC_0020_2;AC_STRO_0007_W;1.000;
AC_TROC_0021_2;AC_SINS_0033_W;1.000;
AC_TROC_0021_2;AC_STRO_0039_W;1.000;
AC_TROC_0022_2;AC_SINS_0034_W;1.000;
AC_TROC_0023_2;AC_SINS_0037_W;1.000;
AC_TROC_0023_2;AC_STRO_0038_W;1.000;
AC_TROC_0024_2;AC_SINS_0038_W;1.000;
AC_TROE_0001_2;AC_STRE_0001_W;1.000;
AC_TROE_0002_2;AC_STRE_0002_W;1.000;
AC_TROE_0003_2;AC_STRE_0003_W;1.000;
AC_TROE_0004_2;AC_STRE_0004_W;1.000;
AC_TROE_0005_2;AC_STRE_0006_W;1.000;
AC_VERI_0001_2;AC_SVER_0001_W;1.000;
AC_VERI_0002_2;AC_SVER_0002_W;1.000;
AC_VERI_0003_2;AC_SVER_0003_W;1.000;
AC_VERI_0004_2;AC_SVER_0004_W;1.000;
AC_VERI_0007_2;AC_STES_0007_W;1.000;
AC_VERI_0008_2;AC_SVER_0008_W;1.000;
AQ_SISA_0004_2;AQ_SIAS_0018_W;1.000;
AT_ABRI_0001_2;AT_SABR_0001_W;1.000;
AT_ABRI_0002_2;AT_SABR_0002_W;1.000;
AT_COLE_0001_2;AT_SCLE_0002_W;1.000;
AT_COLE_0002_2;AT_SCLE_0003_W;1.000;
AT_COLE_0003_2;AT_SCLE_0004_W;1.000;
AT_COLE_0004_2;AT_SCLE_0005_W;1.000;
AT_COLE_0005_2;AT_SCLE_0006_W;1.000;
AT_COLE_0006_2;AT_SINS_0030_W;1.000;
AT_COLO_0001_2;AT_MEST_0001_W;1.000;
AT_COLO_0001_2;AT_MREG_0053_W;1.000;
AT_COLO_0001_2;AT_SCOL_0001_W;1.000;
AT_COLO_0002_2;AT_SCLE_0001_W;1.000;
AT_COLO_0003_2;AT_MTFL_0004_W;1.000;
AT_COLO_0003_2;AT_SCOL_0002_W;1.000;
AT_COLO_0003_2;AT_SCOL_0004_W;1.000;
AT_COLO_0003_2;AT_SCOL_0005_W;1.000;
AT_COLO_0004_2;AT_SCOL_0006_W;1.000;
AT_COLO_0005_2;AT_SCOL_0010_W;1.000;
AT_COLO_0007_2;AT_SCOL_0011_W;1.000;
AT_CONV_0001_2;AT_SCON_0015_W;1.000;
AT_CONV_0003_2;AT_SCON_0018_W;1.000;
AT_CONV_0004_2;AT_SCON_0019_W;1.000;
AT_CONV_0006_2;AT_SCON_0020_W;1.000;
AT_CONV_0007_2;AT_SCON_0021_W;1.000;
AT_CONV_0008_2;AT_SCON_0022_W;1.000;
AT_CONV_0009_2;AT_SCON_0023_W;1.000;
AT_CONV_0010_2;AT_SCON_0024_W;1.000;
AT_CONV_0011_2;AT_SCON_0025_W;1.000;
AT_CONV_0012_2;AT_SCON_0026_W;1.000;
AT_CONV_0013_2;AT_SCON_0027_W;1.000;
AT_CONV_0014_2;AT_SCON_0028_W;1.000;
AT_CONV_0015_2;AT_SCON_0029_W;1.000;
AT_CONV_0016_2;AT_SCON_0030_W;1.000;
AT_CONV_0017_2;AT_SCON_0031_W;1.000;
AT_CONV_0018_2;AT_SCON_0032_W;1.000;
AT_INST_0003_2;AT_SINS_0040_W;1.000;
AT_INST_0005_2;AT_SINS_0041_W;1.000;
AT_INST_0005_2;AT_SREP_0024_W;1.000;
AT_INST_0007_2;AT_SINS_0018_W;1.000;
AT_INST_0008_2;AT_SINS_0019_W;1.000;
AT_INST_0014_2;AT_SREP_0063_W;1.000;
AT_INST_0015_2;AT_SREP_0064_W;1.000;
AT_LIGA_0001_2;AT_MCOT_0013_W;1.000;
