TPCATALOGO;GRUPOCODE;CODE;DESCRICAO;STATUS;TIPONS;PRECO;CATALOGO;
W;SAVE;0006;(D) AVERIGUAR SITUAÇÃO DO IMÓVEL/MEDIDOR;AC;0,00;AC_SAVE_0006
W;SAVE;0006;(D) AVERIGUAR SITUAÇÃO DO IMÓVEL/MEDIDOR;VT;0,00;VT_SAVE_0006
W;SAVE;0006;(D) AVERIGUAR SITUAÇÃO DO IMÓVEL/MEDIDOR;MA;0,00;MA_SAVE_0006
W;SAVE;0006;(D) AVERIGUAR SITUAÇÃO DO IMÓVEL/MEDIDOR;SV;0,00;SV_SAVE_0006
W;SABR;0001;(D) Abrir o gas;AT;12,76;AT_SABR_0001
W;SABR;0001;(D) Abrir o gas;RL;12,76;RL_SABR_0001
W;SABR;0001;(D) Abrir o gas;AC;12,76;AC_SABR_0001
W;SABR;0002;(D) Abrir por conta paga;AT;22,85;AT_SABR_0002
W;SABR;0002;(D) Abrir por conta paga;RL;22,85;RL_SABR_0002
W;SABR;0002;(D) Abrir por conta paga;AC;22,85;AC_SABR_0002
W;STRG;0037;(D) Auditoria/Fiscalização-Vale;MA;;MA_STRG_0037
W;STRG;0037;(D) Auditoria/Fiscalização-Vale;AC;;AC_STRG_0037
W;STRG;0037;(D) Auditoria/Fiscalização-Vale;SS;;SS_STRG_0037
W;SAVE;0002;(D) Averiguar consumo elevado;SS;0,00;SS_SAVE_0002
W;SAVE;0002;(D) Averiguar consumo elevado;AC;0,00;AC_SAVE_0002
W;SAVE;0002;(D) Averiguar consumo elevado;VT;0,00;VT_SAVE_0002
W;SAVE;0002;(D) Averiguar consumo elevado;MA;0,00;MA_SAVE_0002
W;SAVE;0002;(D) Averiguar consumo elevado;SV;0,00;SV_SAVE_0002
W;SAVE;0003;(D) Averiguar nº; tipo Medidor;SS;0,00;SS_SAVE_0003
W;SAVE;0003;(D) Averiguar nº; tipo Medidor;AC;0,00;AC_SAVE_0003
W;SAVE;0003;(D) Averiguar nº; tipo Medidor;VT;0,00;VT_SAVE_0003
W;SAVE;0003;(D) Averiguar nº; tipo Medidor;MA;0,00;MA_SAVE_0003
W;SAVE;0003;(D) Averiguar nº; tipo Medidor;SV;0,00;SV_SAVE_0003
W;SAVE;0005;(D) Averiguar serviço  em Garantia;SS;0,00;SS_SAVE_0005
W;SAVE;0005;(D) Averiguar serviço  em Garantia;AC;0,00;AC_SAVE_0005
W;SAVE;0005;(D) Averiguar serviço  em Garantia;VT;0,00;VT_SAVE_0005
W;SAVE;0005;(D) Averiguar serviço  em Garantia;MA;0,00;MA_SAVE_0005
W;SAVE;0005;(D) Averiguar serviço  em Garantia;SV;0,00;SV_SAVE_0005
